,label,animal_id,Cell,image_id,norm_mean_tmem,norm_mean_cd68,tmem_level,cd68_level,Breeder ID,Animal ID,Age,Section Key,Breeder ID.1,Animal ID.1,Sex,Age.1,Date of Surgery,Ab
54,B06_2_MIP.czi:c:3/4 - B06_2_MIP.czi #1,B06,3,2,0.062068048071543654,0.04844434208699822,mid,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
55,B06_2_MIP.czi:c:3/4 - B06_2_MIP.czi #1,B06,4,2,0.09819798403360855,0.037437427294852145,mid,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
56,B06_3_MIP.czi:c:3/4 - B06_3_MIP.czi #1,B06,1,3,0.05210917173543562,0.03102432487883048,mid,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
57,B06_3_MIP.czi:c:3/4 - B06_3_MIP.czi #1,B06,2,3,0.02305560423500537,0.0353548548866872,low,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
58,B06_3_MIP.czi:c:3/4 - B06_3_MIP.czi #1,B06,3,3,0.0498872102903578,0.049620375574593555,low,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
59,B06_3_MIP.czi:c:3/4 - B06_3_MIP.czi #1,B06,4,3,0.059855512960753435,0.060193006732008114,mid,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
60,B08_1_MIP.czi:c:3/4 - B08_1_MIP.czi #1,B08,1,1,0.03585053360121005,0.010914774962536303,low,high,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
61,B08_1_MIP.czi:c:3/4 - B08_1_MIP.czi #1,B08,2,1,0.05505851819918908,0.014325890152397824,mid,high,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
62,B08_1_MIP.czi:c:3/4 - B08_1_MIP.czi #1,B08,3,1,0.035227396426015384,0.020510648793247675,low,high,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
63,B08_1_MIP.czi:c:3/4 - B08_1_MIP.czi #1,B08,4,1,0.0556130791215605,0.038113496891309474,mid,high,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
64,B08_2_MIP.czi:c:3/4 - B08_2_MIP.czi #1,B08,1,2,0.026237887179333452,0.0128221259871404,low,high,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
65,B08_2_MIP.czi:c:3/4 - B08_2_MIP.czi #1,B08,2,2,0.03576988721705667,0.018726857847395924,low,high,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
