,Breeder ID,Animal ID,Age,Section Key,Breeder ID.1,Animal ID.1,Sex,Age.1,Date of Surgery,Ab,animal_id,Cell,image_id,tmem_norm,cd68_norm,tmem_status,cd68_status
129,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,2,B14_1_MIP,0.022602749070694338,0.005077119187483936,low,mid
130,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,3,B14_1_MIP,0.030426463467280725,0.011260878359108748,low,high
131,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,4,B14_1_MIP,0.11482250428386229,0.018616795284775167,mid,high
132,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,1,B14_2_MIP,0.05226892367557508,-0.006487018905791259,mid,low
133,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,2,B14_2_MIP,0.05421875374253941,0.012835794245798005,mid,high
134,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,3,B14_2_MIP,0.11788842678566552,0.001500512037018703,mid,mid
135,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,4,B14_2_MIP,0.06791940366368737,0.005017212024980143,mid,mid
136,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,1,B14_3_MIP,0.036383005506883136,0.009429903258474037,low,mid
137,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,2,B14_3_MIP,0.016346883847067332,0.00737934901225671,low,mid
138,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,3,B14_3_MIP,0.01732643583242089,0.001150017519798159,low,mid
139,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,4,B14_3_MIP,0.025360702436699856,0.0014205964457477335,low,mid
140,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,1,B28_1_MIP,0.11764897710720262,-0.037751426852889985,mid,low
141,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,2,B28_1_MIP,0.17429238131238653,-0.03386631469196677,high,low
142,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,3,B28_1_MIP,0.18931488522563084,-0.049891574546401876,high,low
143,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,4,B28_1_MIP,0.1895655775324108,-0.05697587537221048,high,low
144,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,1,B28_2_MIP,0.04000640081875713,-0.025495453750019784,low,low
145,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,2,B28_2_MIP,0.03802263689114728,-0.022328445048322043,low,low
146,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,3,B28_2_MIP,0.011160002776406025,-0.0027025748513318654,low,low
147,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,4,B28_2_MIP,-0.014776846594684562,-0.021282224807453648,low,low
148,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,1,B28_3_MIP,0.09679335538827316,-0.07232444203047093,mid,low
149,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,2,B28_3_MIP,0.029920045023190817,-0.028544605950047555,low,low
150,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,3,B28_3_MIP,0.08239556338758162,-0.05214937286202964,mid,low
151,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,4,B28_3_MIP,5.9590212602850245e-05,-0.06662829987512899,low,low
152,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,1,B32_1_MIP,0.038696456391041786,0.010283104674537608,low,high
153,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,2,B32_1_MIP,0.040106858964668396,0.015117294410436792,low,high
154,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,3,B32_1_MIP,0.07296418715473153,0.01138259507955746,mid,high
